1,71
1,69
1,68
1,68
1,68
1,68
1,69
1,7
1,71
1,72
1,73
1,74
1,75
1,77
1,78
1,8
1,81
1,82
1,84
1,85
1,87
1,89
1,9
1,93
1,95
1,96
1,98
2
2,02
2,04
2,06
2,08
2,1
2,14
2,15
2,16
2,19
2,2
2,22
2,23
2,26
2,3
2,32
2,35
2,41
2,43
2,45
2,48
2,5
2,53
2,55
2,58
2,61
2,64
2,67
2,7
2,73
2,76
2,8
2,83
2,86
2,88
2,94
2,98
3,01
3,04
3,08
3,14
3,19
3,26
3,28
3,34
3,38
3,44
3,48
3,53
3,57
3,61
3,64
3,69
3,73
3,77
3,79
3,81
3,84
3,88
3,94
4,01
4,03
4,04
4,08
4,12
4,16
4,21
4,23
4,25
4,29
4,33
4,38
4,44
4,46
4,48
4,52
4,55
4,58
4,61
4,64
4,67
4,71
4,76
4,79
4,81
4,84
4,87
4,9
4,92
4,96
4,98
5,01
5,04
5,06
5,09
5,11
5,14
5,16
5,19
5,2
5,22
5,24
5,26
5,28
5,31
5,34
5,37
5,39
5,42
5,47
5,48
5,57
5,6
5,64
5,71
5,76
5,81
5,88
5,97
6,09
6,22
6,38
6,61
6,91
8
9,2
9,6
9,83
9,91
9,99
10,08
10,18
10,29
10,33
10,4
10,53
10,59
10,64
10,71
10,79
10,81
10,84
11,01
11,11
11,22
11,29
11,36
11,43
11,53
11,56
11,6
