0,0000
0,1080
0,1620
0,2700
0,4320
0,6479
1,1879
1,7279
2,2678
2,8078
3,3477
3,8877
4,4276
4,9676
5,5616
6,1015
6,6415
7,1814
7,7214
8,2613
8,8013
9,3413
9,8812
10,4212
10,9611
11,5011
12,0410
12,5810
13,1210
13,6609
14,2009
14,7408
15,2808
15,8207
16,0907
16,3607
16,6307
16,9006
17,1706
17,4406
17,9806
18,5205
19,0605
19,6004
20,1404
20,4104
20,6803
20,9503
21,2203
21,4903
21,7603
22,0302
22,3002
22,5702
22,8402
23,1102
23,3801
23,6501
23,9201
24,1901
24,4600
24,8920
25,4320
25,7019
25,9719
26,2419
26,5119
27,0518
27,5918
28,1317
28,4017
28,9417
29,4816
30,0216
30,5616
31,1015
31,6415
32,1814
32,7214
33,2613
33,8013
34,3413
34,8812
35,4212
35,9611
36,5011
37,0410
37,3110
37,5810
37,8510
38,3909
38,9309
39,4708
40,0108
40,2808
40,5508
41,0907
41,6307
42,1706
42,7106
42,9806
43,2505
43,5205
43,7905
44,0605
44,3305
44,6004
44,8704
45,1404
45,4104
45,5724
45,7343
45,8963
46,0583
46,2203
46,3823
46,5443
46,5983
46,7063
46,8143
46,9222
47,0302
47,1382
47,1922
47,2462
47,3002
47,3542
47,4082
47,4622
47,5162
47,5702
47,6242
47,6782
47,7322
47,7862
47,8402
47,8942
47,9482
48,0562
48,1102
48,1641
48,2181
48,2721
48,3261
48,3801
48,4341
48,4881
48,5421
48,5961
48,6501
48,7041
48,7581
48,8121
48,8661
48,9201
48,9741
49,0281
49,0821
49,1361
49,1901
49,2441
49,3521
49,4600
49,5680
49,6760
49,7840
49,8920
50,0000
50,2700
50,8099
51,3499
51,8898
52,4298
52,9698
53,7797
54,8596
55,3996
55,9395
